Episode:60900; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4588; ACTIONS=10
Episode:61000; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4588; ACTIONS=10
Episode:61100; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4588; ACTIONS=10
Episode:61200; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4588; ACTIONS=10
Episode:61300; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4588; ACTIONS=10
Episode:61400; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4588; ACTIONS=10
Episode:61500; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4588; ACTIONS=10
Episode:61600; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4588; ACTIONS=10
Episode:61700; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4589; ACTIONS=10
Episode:61800; alpha=0.01000; gamma=0.99000; epsilon=0.07000; alphaDecay=0.99995; epsilonDecay=0.99995; alphaMin=0.01000; epsilonMin=0.07000; B_ENEMY_X=7; B_ENEMY_Y=7; B_ANGLE=8; B_DISTANCE=6; B_FIRE=2; STATES=4589; ACTIONS=10
